Field,Type,Collation,Null,Key,Comment
id,int(11) unsigned,,NO,PRI,Region ID
name,varchar(255),utf8 _ general _ ci,NO,,Region name
country _ id,smallint(5) unsigned,,NO,MUL,Country ID
